title	SECTITLE_END
ClearTK	SEC_START
-	SEC_CONTENT
TimeML	SEC_CONTENT
:	SEC_CONTENT
A	SEC_CONTENT
minimalist	SEC_CONTENT
approach	SEC_CONTENT
to	SEC_CONTENT
TempEval	dataset
2013	SEC_END
abstract	SECTITLE_END
The	SEC_START
ClearTK	SEC_CONTENT
-	SEC_CONTENT
TimeML	SEC_CONTENT
submission	SEC_CONTENT
to	SEC_CONTENT
Temp	dataset
-	dataset
Eval	dataset
2013	SEC_CONTENT
competed	SEC_CONTENT
in	SEC_CONTENT
all	SEC_CONTENT
English	SEC_CONTENT
tasks	SEC_CONTENT
:	SEC_CONTENT
identifying	SEC_CONTENT
events	SEC_CONTENT
,	SEC_CONTENT
identifying	SEC_CONTENT
times	SEC_CONTENT
,	SEC_CONTENT
and	SEC_CONTENT
identifying	SEC_CONTENT
temporal	task
relations	task
.	SEC_CONTENT
The	SEC_CONTENT
system	SEC_CONTENT
is	SEC_CONTENT
a	SEC_CONTENT
pipeline	SEC_CONTENT
of	SEC_CONTENT
machine	SEC_CONTENT
-	SEC_CONTENT
learning	SEC_CONTENT
models	SEC_CONTENT
,	SEC_CONTENT
each	SEC_CONTENT
with	SEC_CONTENT
a	SEC_CONTENT
small	SEC_CONTENT
set	SEC_CONTENT
of	SEC_CONTENT
features	SEC_CONTENT
from	SEC_CONTENT
a	SEC_CONTENT
simple	SEC_CONTENT
morpho	SEC_CONTENT
-	SEC_CONTENT
syntactic	SEC_CONTENT
annotation	SEC_CONTENT
pipeline	SEC_CONTENT
,	SEC_CONTENT
and	SEC_CONTENT
where	SEC_CONTENT
temporal	SEC_CONTENT
relations	SEC_CONTENT
are	SEC_CONTENT
only	SEC_CONTENT
predicted	SEC_CONTENT
fora	SEC_CONTENT
small	SEC_CONTENT
set	SEC_CONTENT
of	SEC_CONTENT
syntactic	SEC_CONTENT
constructions	SEC_CONTENT
and	SEC_CONTENT
relation	SEC_CONTENT
types	SEC_CONTENT
.	SEC_CONTENT
ClearTK	SEC_CONTENT
-	SEC_CONTENT
TimeML	SEC_CONTENT
ranked	SEC_CONTENT
1	SEC_CONTENT
st	SEC_CONTENT
for	SEC_CONTENT
temporal	SEC_CONTENT
relation	SEC_CONTENT
F1	SEC_CONTENT
,	SEC_CONTENT
time	SEC_CONTENT
extent	SEC_CONTENT
strict	SEC_CONTENT
F1	SEC_CONTENT
and	SEC_CONTENT
event	SEC_CONTENT
tense	SEC_CONTENT
accuracy	SEC_CONTENT
.	SEC_END
Introduction	SECTITLE_END
The	SEC_START
TempEval	dataset
shared	SEC_CONTENT
tasks	SEC_CONTENT
)	SEC_CONTENT
have	SEC_CONTENT
been	SEC_CONTENT
one	SEC_CONTENT
of	SEC_CONTENT
the	SEC_CONTENT
key	SEC_CONTENT
venues	SEC_CONTENT
for	SEC_CONTENT
researchers	SEC_CONTENT
to	SEC_CONTENT
compare	SEC_CONTENT
methods	SEC_CONTENT
for	SEC_CONTENT
temporal	task
information	task
extraction	task
.	SEC_CONTENT
In	SEC_CONTENT
TempEval	dataset
2013	SEC_CONTENT
,	SEC_CONTENT
systems	SEC_CONTENT
are	SEC_CONTENT
asked	SEC_CONTENT
to	SEC_CONTENT
identify	SEC_CONTENT
events	SEC_CONTENT
,	SEC_CONTENT
times	SEC_CONTENT
and	SEC_CONTENT
temporal	task
relations	task
in	SEC_CONTENT
unstructured	SEC_CONTENT
text	SEC_CONTENT
.	SEC_END
This	SEC_START
paper	SEC_CONTENT
describes	SEC_CONTENT
the	SEC_CONTENT
ClearTK	SEC_CONTENT
-	SEC_CONTENT
TimeML	SEC_CONTENT
system	SEC_CONTENT
submitted	SEC_CONTENT
to	SEC_CONTENT
TempEval	dataset
2013	SEC_CONTENT
.	SEC_CONTENT
This	SEC_CONTENT
system	SEC_CONTENT
is	SEC_CONTENT
based	SEC_CONTENT
off	SEC_CONTENT
of	SEC_CONTENT
the	SEC_CONTENT
ClearTK	SEC_CONTENT
framework	SEC_CONTENT
for	SEC_CONTENT
machine	SEC_CONTENT
learning	SEC_CONTENT
,	SEC_CONTENT
and	SEC_CONTENT
decomposes	SEC_CONTENT
TempEval	dataset
2013	SEC_CONTENT
into	SEC_CONTENT
a	SEC_CONTENT
series	SEC_CONTENT
of	SEC_CONTENT
sub	SEC_CONTENT
-	SEC_CONTENT
tasks	SEC_CONTENT
,	SEC_CONTENT
each	SEC_CONTENT
of	SEC_CONTENT
which	SEC_CONTENT
is	SEC_CONTENT
formulated	SEC_CONTENT
as	SEC_CONTENT
a	SEC_CONTENT
machine	SEC_CONTENT
-	SEC_CONTENT
learning	SEC_CONTENT
classification	SEC_CONTENT
problem	SEC_CONTENT
.	SEC_CONTENT
The	SEC_CONTENT
goals	SEC_CONTENT
of	SEC_CONTENT
the	SEC_CONTENT
ClearTK	SEC_CONTENT
-	SEC_CONTENT
TimeML	SEC_CONTENT
approach	SEC_CONTENT
were	SEC_CONTENT
:	SEC_END
•	SEC_START
To	SEC_CONTENT
use	SEC_CONTENT
a	SEC_CONTENT
small	SEC_CONTENT
